clip,id,frame,latitude,longitude
1_04_13_00,65,2438.0,-13.522814695614702,-71.96144043262764
1_04_13_00,65,2439.0,-13.522814696022571,-71.9614404317114
1_04_13_00,65,2440.0,-13.522814696437036,-71.96144043078003
1_04_13_00,65,2441.0,-13.52281469685503,-71.96144042984044
1_04_13_00,65,2442.0,-13.5228146972739,-71.96144042889861
1_04_13_00,65,2443.0,-13.52281469769137,-71.96144042795973
1_04_13_00,65,2444.0,-13.522814698105485,-71.96144042702822
1_04_13_00,65,2445.0,-13.522814698514583,-71.96144042610784
1_04_13_00,65,2446.0,-13.522814698917262,-71.96144042520176
1_04_13_00,65,2447.0,-13.52281469931234,-71.96144042431267
1_04_13_00,65,2448.0,-13.522814699698856,-71.96144042344275
1_04_13_00,65,2449.0,-13.522814700076012,-71.96144042259378
1_04_13_00,65,2450.0,-13.522814700443186,-71.96144042176722
1_04_13_00,65,2451.0,-13.522814700799879,-71.96144042096418
1_04_13_00,65,2452.0,-13.52281470114573,-71.96144042018547
1_04_13_00,65,2453.0,-13.52281471495269,-71.96144042319709
1_04_13_00,65,2454.0,-13.522814740755038,-71.9614404295898
1_04_13_00,65,2455.0,-13.522814763759893,-71.9614404352294
1_04_13_00,65,2456.0,-13.52281478424137,-71.96144044019255
1_04_13_00,65,2457.0,-13.52281480244809,-71.96144044454857
1_04_13_00,65,2458.0,-13.522814818605486,-71.96144044836029
1_04_13_00,65,2459.0,-13.522814819450229,-71.9614404479202
