               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 139,            0.036051,            0.024489,          0.00051348,             0.84539,             0.78791,             0.86929,             0.49706,            0.034098,            0.031075,          0.00048418,           0.0045352,           0.0045352,           0.0045352
                 140,             0.03537,            0.024285,          0.00050039,             0.85457,             0.77724,             0.86718,              0.4991,            0.034102,            0.031083,           0.0004826,           0.0044956,           0.0044956,           0.0044956
                 141,            0.035918,            0.023713,          0.00052469,             0.84893,             0.78253,             0.86572,             0.49812,            0.034226,            0.031145,          0.00048208,            0.004456,            0.004456,            0.004456
                 142,             0.03597,            0.024248,          0.00052167,             0.84677,             0.78666,             0.86809,             0.49899,            0.034277,            0.031182,          0.00047912,           0.0044164,           0.0044164,           0.0044164
                 143,            0.035779,            0.024366,          0.00049662,             0.83684,             0.79779,              0.8697,             0.49856,            0.033953,            0.031117,          0.00046889,           0.0043768,           0.0043768,           0.0043768
                 144,            0.035568,            0.024375,          0.00049622,             0.84372,             0.79557,              0.8683,             0.49788,            0.033983,            0.031125,          0.00046943,           0.0043372,           0.0043372,           0.0043372
                 145,            0.035217,            0.023975,          0.00050755,             0.84905,             0.78756,             0.86874,              0.4994,            0.033912,            0.030993,          0.00047308,           0.0042976,           0.0042976,           0.0042976
                 146,            0.035315,            0.024027,          0.00048947,             0.84398,             0.79325,             0.86959,             0.49879,            0.033904,            0.031017,           0.0004675,            0.004258,            0.004258,            0.004258
                 147,            0.035753,            0.024065,           0.0004809,             0.83694,             0.79964,             0.87021,             0.49997,            0.033977,            0.030992,          0.00046695,           0.0042184,           0.0042184,           0.0042184
                 148,             0.03538,            0.024014,          0.00046709,             0.84099,             0.79761,             0.86962,             0.50044,            0.034028,             0.03102,          0.00046011,           0.0041788,           0.0041788,           0.0041788
                 149,            0.035527,            0.024182,           0.0004997,             0.84022,             0.79964,             0.87149,             0.50088,            0.034054,            0.031118,          0.00046354,           0.0041392,           0.0041392,           0.0041392
                 150,            0.035649,             0.02423,          0.00047112,              0.8415,             0.79072,             0.86991,             0.50021,            0.034041,            0.031089,          0.00045723,           0.0040996,           0.0040996,           0.0040996
                 151,            0.035192,            0.023688,          0.00048958,             0.84339,             0.79099,             0.87057,             0.50018,            0.034069,            0.031027,          0.00045783,             0.00406,             0.00406,             0.00406
